<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180808,000000,1.1614600,1.1621000,1.1586000,1.1589500,2905000
20180809,000000,1.1599100,1.1603000,1.1575600,1.1590000,8618000
20180810,000000,1.1458100,1.1475400,1.1445000,1.1465500,24619000
20180813,000000,1.1391500,1.1399000,1.1368100,1.1397300,5457000
20180814,000000,1.1421600,1.1424900,1.1381800,1.1407200,10200000
20180815,000000,1.1339000,1.1341100,1.1310000,1.1319900,15057000
20180816,000000,1.1370300,1.1384800,1.1356100,1.1370000,8505000
20180817,000000,1.1383400,1.1413900,1.1372300,1.1387400,30691000
20180820,000000,1.1411300,1.1424300,1.1400000,1.1424200,16257000
20180821,000000,1.1511000,1.1535500,1.1509600,1.1520000,9736000
20180822,000000,1.1572000,1.1616000,1.1553400,1.1605900,14634000
20180823,000000,1.1563000,1.1586500,1.1547400,1.1581000,7981000
20180824,000000,1.1568000,1.1594000,1.1553600,1.1594000,13537000
20180827,000000,1.1596400,1.1625500,1.1596400,1.1625400,10639000
20180828,000000,1.1686000,1.1710000,1.1679900,1.1710000,4598000
20180829,000000,1.1673300,1.1679000,1.1655500,1.1663400,11457000
20180830,000000,1.1706600,1.1711500,1.1670600,1.1684700,11482000
20180831,000000,1.1676000,1.1686300,1.1643000,1.1644500,7984000
20180904,000000,1.1576900,1.1583500,1.1553700,1.1559000,9003000
20180905,000000,1.1565000,1.1594000,1.1544100,1.1583000,13350000
20180906,000000,1.1617600,1.1635100,1.1611100,1.1626700,10337000
20180907,000000,1.1646900,1.1646900,1.1606100,1.1606300,5709000
20180910,000000,1.1535300,1.1583200,1.1535300,1.1573000,7825000
20180911,000000,1.1627900,1.1640300,1.1576400,1.1581800,14791000
20180912,000000,1.1573600,1.1602200,1.1573000,1.1580200,12345000
20180913,000000,1.1624000,1.1630400,1.1608500,1.1625900,8804000
20180914,000000,1.1703200,1.1715300,1.1688700,1.1688700,11377000
20180917,000000,1.1631000,1.1664900,1.1623000,1.1664500,25285000
20180918,000000,1.1693600,1.1693600,1.1673300,1.1681000,7454000
20180919,000000,1.1684000,1.1712000,1.1671000,1.1685000,7505000
20180920,000000,1.1685500,1.1744000,1.1685300,1.1741100,5995000
20180921,000000,1.1787200,1.1796000,1.1761300,1.1761300,13652000
20180924,000000,1.1735700,1.1770400,1.1734800,1.1765100,9163000
20180925,000000,1.1761000,1.1784000,1.1733500,1.1784000,19272000
20180926,000000,1.1765000,1.1771800,1.1733100,1.1733100,11642000
20180927,000000,1.1697000,1.1717000,1.1685500,1.1699200,11807000
20180928,000000,1.1624200,1.1625600,1.1568400,1.1575200,28016000
20181001,000000,1.1583900,1.1616300,1.1576400,1.1587000,2960000
20181002,000000,1.1539000,1.1541800,1.1507500,1.1524900,7010000
20181003,000000,1.1577000,1.1583300,1.1543100,1.1543700,16540000
20181004,000000,1.1478700,1.1502600,1.1475000,1.1500000,7656000
20181005,000000,1.1503500,1.1509700,1.1487000,1.1505000,17926000
20181009,000000,1.1475500,1.1483600,1.1433100,1.1433100,7148000
20181010,000000,1.1491800,1.1503000,1.1481400,1.1503000,8403000
20181011,000000,1.1542000,1.1577000,1.1531800,1.1573000,9445000
20181012,000000,1.1595200,1.1600000,1.1568600,1.1568600,6350000
20181015,000000,1.1563800,1.1598000,1.1560600,1.1595000,9486000
20181016,000000,1.1578500,1.1594000,1.1565000,1.1580900,6898000
20181017,000000,1.1567800,1.1571600,1.1526000,1.1526000,12003000
20181018,000000,1.1488800,1.1522400,1.1484500,1.1508300,8792000
20181019,000000,1.1460000,1.1471000,1.1435000,1.1463600,7370000
20181022,000000,1.1537000,1.1547000,1.1493200,1.1498100,7463000
20181023,000000,1.1464900,1.1483000,1.1450000,1.1465000,7891000
20181024,000000,1.1455500,1.1470000,1.1391500,1.1394100,10959000
20181025,000000,1.1406500,1.1410700,1.1394000,1.1407500,6305000
20181026,000000,1.1361500,1.1380600,1.1334300,1.1334300,6617000
20181029,000000,1.1393600,1.1412000,1.1365500,1.1398400,6454000
20181030,000000,1.1375500,1.1385000,1.1346400,1.1347000,8992000
20181031,000000,1.1343000,1.1358200,1.1330000,1.1341000,9161000
20181101,000000,1.1347000,1.1399000,1.1346600,1.1395000,13711000
20181102,000000,1.1417000,1.1453900,1.1417000,1.1440700,4247000
20181106,000000,1.1415900,1.1422800,1.1394500,1.1399800,10494000
20181107,000000,1.1442000,1.1496200,1.1435000,1.1488500,4830000
20181108,000000,1.1431900,1.1438800,1.1407000,1.1407000,10576000
20181109,000000,1.1342800,1.1352100,1.1325000,1.1350000,13314000
20181113,000000,1.1255000,1.1255000,1.1222600,1.1249600,11958000
20181114,000000,1.1291000,1.1296600,1.1264900,1.1272100,7827000
20181115,000000,1.1334300,1.1346800,1.1278800,1.1299900,17371000
20181116,000000,1.1347500,1.1362000,1.1320000,1.1328000,7552000
20181119,000000,1.1408300,1.1432600,1.1404500,1.1432600,7455000
20181120,000000,1.1450700,1.1470200,1.1421000,1.1427000,6373000
20181121,000000,1.1389000,1.1412200,1.1368000,1.1400000,10821000
20181123,000000,1.1409500,1.1413300,1.1338500,1.1347300,5994000
20181126,000000,1.1356600,1.1379000,1.1356500,1.1364700,21702000
20181127,000000,1.1328400,1.1335000,1.1304000,1.1318000,11881000
20181128,000000,1.1290000,1.1290900,1.1268000,1.1284000,4697000
20181129,000000,1.1373200,1.1391000,1.1347200,1.1358400,23144000
20181130,000000,1.1389700,1.1389700,1.1363200,1.1368700,3441000
20181203,000000,1.1365000,1.1377000,1.1320000,1.1329900,5569000
20181204,000000,1.1383500,1.1415700,1.1375000,1.1394800,7072000
20181205,000000,1.1326200,1.1357100,1.1323000,1.1350100,3033000
20181206,000000,1.1332100,1.1338900,1.1320000,1.1335000,6674000
20181207,000000,1.1363000,1.1380400,1.1360600,1.1376000,7600000
20181210,000000,1.1427900,1.1433100,1.1404000,1.1417200,12190000
20181211,000000,1.1361000,1.1397800,1.1361000,1.1397800,2759000
20181212,000000,1.1325200,1.1334400,1.1313700,1.1328000,5079000
20181213,000000,1.1369400,1.1389700,1.1368600,1.1375000,11101000
20181214,000000,1.1348900,1.1355300,1.1282000,1.1282300,50674000
20181217,000000,1.1308600,1.1340400,1.1308600,1.1338000,6898000
20181218,000000,1.1336000,1.1399000,1.1336000,1.1391500,8770000
20181219,000000,1.1388100,1.1410000,1.1382900,1.1400000,8184000
20181220,000000,1.1401100,1.1480000,1.1400800,1.1469800,6483000
20181221,000000,1.1451900,1.1468000,1.1406100,1.1415000,15253000
20181224,000000,1.1380000,1.1406000,1.1372700,1.1392300,10455000
20181227,000000,1.1384000,1.1405200,1.1370600,1.1394500,60974000
20181228,000000,1.1460500,1.1468500,1.1427600,1.1462300,42672000
20190109,000000,1.1458400,1.1478000,1.1446900,1.1451300,2412000
20190110,000000,1.1548300,1.1551600,1.1515500,1.1524200,11355000
20190111,000000,1.1521800,1.1530000,1.1513000,1.1525000,9744000
20190114,000000,1.1474100,1.1480000,1.1452000,1.1469000,5101000
20190115,000000,1.1472000,1.1480500,1.1423300,1.1430800,15584000
20190116,000000,1.1401100,1.1421400,1.1379200,1.1380000,7896000
